idx,transformer_model,n_neighbors,n_components,min_dist,min_cluster_size,cluster_selection_method,ngram_range,coherence,topic_diversity,silhouette_score,n_topics,n_outlier_pubs
54,BAAI/bge-large-en-v1.5,15,17,0.1,5,eom,"(1, 4)",0.856400882,0.975,0.043147378,4,1
55,BAAI/bge-large-en-v1.5,15,13,0.1,8,eom,"(1, 4)",0.856400882,0.975,0.043147378,4,1
56,BAAI/bge-large-en-v1.5,13,20,0,9,eom,"(1, 3)",0.848106304,1,0.10728004,3,3
57,BAAI/bge-large-en-v1.5,15,17,0.05,15,eom,"(1, 3)",0.844966783,1,0.10719977,3,3
58,BAAI/bge-large-en-v1.5,13,9,0,13,eom,"(1, 3)",0.84211107,1,0.108331226,3,8
59,BAAI/bge-large-en-v1.5,9,9,0.05,7,eom,"(1, 3)",0.840067183,0.92,0.034372393,5,8
60,BAAI/bge-large-en-v1.5,13,13,0.05,8,eom,"(1, 4)",0.839274548,0.833333333,0.03489334,6,16
61,BAAI/bge-large-en-v1.5,15,7,0.05,6,eom,"(1, 3)",0.839079428,0.8,0.032903407,5,1
62,BAAI/bge-large-en-v1.5,20,5,0,13,eom,"(1, 3)",0.836874116,0.966666667,0.109955505,3,6
63,BAAI/bge-large-en-v1.5,20,5,0,9,eom,"(1, 3)",0.836874116,0.966666667,0.109955505,3,6
64,BAAI/bge-large-en-v1.5,15,5,0.05,8,eom,"(1, 4)",0.835792912,0.94,0.035716295,5,12
65,BAAI/bge-large-en-v1.5,20,17,0.1,5,eom,"(1, 4)",0.835726027,0.94,0.033141237,5,6
66,BAAI/bge-large-en-v1.5,17,13,0,15,eom,"(1, 3)",0.83564655,1,0.10787701,3,5
67,BAAI/bge-large-en-v1.5,17,7,0.1,8,eom,"(1, 4)",0.835568032,0.94,0.036175225,5,14
68,BAAI/bge-large-en-v1.5,17,7,0,8,eom,"(1, 4)",0.835557475,0.94,0.036242876,5,13
69,BAAI/bge-large-en-v1.5,15,5,0.1,6,eom,"(1, 4)",0.835414402,0.94,0.03512804,5,10
70,BAAI/bge-large-en-v1.5,15,9,0,20,eom,"(1, 3)",0.835356032,1,0.10747996,3,5
71,BAAI/bge-large-en-v1.5,15,5,0.1,7,eom,"(1, 4)",0.835187782,0.96,0.036293607,5,14
72,BAAI/bge-large-en-v1.5,15,9,0.05,6,eom,"(1, 3)",0.835140799,0.96,0.03337236,5,2
73,BAAI/bge-large-en-v1.5,15,9,0.05,9,eom,"(1, 3)",0.834021177,1,0.107701555,3,7
74,BAAI/bge-large-en-v1.5,15,17,0.05,17,eom,"(1, 3)",0.833146495,1,0.10851056,3,8
75,BAAI/bge-large-en-v1.5,17,5,0,20,eom,"(1, 3)",0.833023987,1,0.1083043,3,7
76,BAAI/bge-large-en-v1.5,13,13,0,13,eom,"(1, 3)",0.832819294,1,0.10732852,3,4
77,BAAI/bge-large-en-v1.5,20,20,0.05,5,eom,"(1, 3)",0.831720158,1,-0.007835299,2,361
78,BAAI/bge-large-en-v1.5,15,15,0,8,eom,"(1, 3)",0.831720158,1,-0.007835299,2,361
79,BAAI/bge-large-en-v1.5,15,13,0,15,eom,"(1, 3)",0.831530437,1,0.10751368,3,5
80,BAAI/bge-large-en-v1.5,15,17,0.05,5,eom,"(1, 4)",0.828643902,0.92,0.0328832,5,1
81,BAAI/bge-large-en-v1.5,17,5,0,15,eom,"(1, 2)",0.827388627,1,0.10653188,3,1
82,BAAI/bge-large-en-v1.5,17,13,0,10,eom,"(1, 2)",0.827388627,1,0.10653188,3,1
83,BAAI/bge-large-en-v1.5,15,17,0.05,13,eom,"(1, 2)",0.827388627,1,0.10653188,3,1
84,BAAI/bge-large-en-v1.5,13,9,0.05,10,eom,"(1, 2)",0.827388627,1,0.10653188,3,1
85,BAAI/bge-large-en-v1.5,17,5,0,13,eom,"(1, 2)",0.827388627,1,0.10653188,3,1
86,BAAI/bge-large-en-v1.5,13,7,0,20,eom,"(1, 2)",0.827388627,1,0.10653188,3,1
87,BAAI/bge-large-en-v1.5,15,17,0,17,eom,"(1, 2)",0.827388627,1,0.10653188,3,1
88,BAAI/bge-large-en-v1.5,17,13,0.05,10,eom,"(1, 2)",0.827388627,1,0.10653188,3,1
89,BAAI/bge-large-en-v1.5,15,17,0,15,eom,"(1, 2)",0.827388627,1,0.10653188,3,1
